City,Country,# of Obeservation Cases
Potsdam,Germany,1179
Kromeriz,Czech Republic,1141
Gotenba-si,Japan,1062
Marquardt,Germany,908
Alpine,United States,787
Zliabky,Slovakia,745
Ostrowik,Poland,734
Ermelo,Netherlands,655
Gomel,Belarus,602
Ap Kolonica,Slovakia,581
Debelo Brdo - Valjevo,Serbia,570
Kooralbyn,Australia,566
Wilhelmshorst,Germany,564
Avren,Bulgaria,547
Descanso Ca,United States,544
Debelo Brdo,Croatia,507
valjevo,Serbia,488
Gidgegannup,Australia,482
Petnica,Serbia,456
Krakow,Poland,456
