Name,Website
Aries,https://www.constellation-guide.com/wp-content/uploads/2020/12/NGC-772.webp
Taurus,https://www.constellation-guide.com/wp-content/uploads/2012/10/Pleiades.jpg
Gemini,https://www.constellation-guide.com/wp-content/uploads/2012/10/IC-443-and-Mu-and-Eta-Geminorum.jpg
Cancer,https://www.constellation-guide.com/wp-content/uploads/2020/12/NGC-2608.webp
Leo,https://www.constellation-guide.com/wp-content/uploads/2012/10/Messier-65-NGC-3623.jpg
Virgo,https://www.constellation-guide.com/wp-content/uploads/2012/08/Virgo-Cluster.jpg
Libra,https://www.constellation-guide.com/wp-content/uploads/2013/03/NGC-5897.jpg
Scorpio,https://www.constellation-guide.com/wp-content/uploads/2012/11/Butterfly-Nebula-NGC-6302.jpg
Sagittarius,https://www.constellation-guide.com/wp-content/uploads/2011/11/Trifid-Nebula-Messier-20.jpg
Capricornus,https://www.constellation-guide.com/wp-content/uploads/2020/12/Messier-30-NGC-7099.webp
Aquarius,https://www.constellation-guide.com/wp-content/uploads/2020/12/Atoms-for-Peace-Galaxy-NGC-7252.webp
Pisces,https://www.constellation-guide.com/wp-content/uploads/2013/03/CGCG-436-030.jpg
